	male-1.bowtie	male-10.bowtie	male-100.bowtie	male-101.bowtie	male-102.bowtie	male-103.bowtie	male-104.bowtie	male-105.bowtie	male-106.bowtie	male-107.bowtie	male-108.bowtie	male-109.bowtie	male-11.bowtie	male-110.bowtie	male-111.bowtie	male-112.bowtie	male-113.bowtie	male-114.bowtie	male-115.bowtie	male-116.bowtie	male-117.bowtie	male-12.bowtie	male-13.bowtie	male-14.bowtie	male-15.bowtie	male-16.bowtie	male-17.bowtie	male-18.bowtie	male-19.bowtie	male-2.bowtie	male-20.bowtie	male-21.bowtie	male-22.bowtie	male-23.bowtie	male-24.bowtie	male-25.bowtie	male-26.bowtie	male-27.bowtie	male-28.bowtie	male-29.bowtie	male-3.bowtie	male-30.bowtie	male-31.bowtie	male-32.bowtie	male-33.bowtie	male-34.bowtie	male-35.bowtie	male-36.bowtie	male-37.bowtie	male-38.bowtie	male-39.bowtie	male-4.bowtie	male-40.bowtie	male-41.bowtie	male-42.bowtie	male-43.bowtie	male-44.bowtie	male-45.bowtie	male-46.bowtie	male-47.bowtie	male-48.bowtie	male-49.bowtie	male-5.bowtie	male-50.bowtie	male-51.bowtie	male-52.bowtie	male-53.bowtie	male-54.bowtie	male-55.bowtie	male-56.bowtie	male-57.bowtie	male-58.bowtie	male-59.bowtie	male-6.bowtie	male-60.bowtie	male-61.bowtie	male-62.bowtie	male-63.bowtie	male-64.bowtie	male-65.bowtie	male-66.bowtie	male-67.bowtie	male-68.bowtie	male-69.bowtie	male-7.bowtie	male-70.bowtie	male-71.bowtie	male-72.bowtie	male-73.bowtie	male-74.bowtie	male-75.bowtie	male-76.bowtie	male-77.bowtie	male-78.bowtie	male-79.bowtie	male-8.bowtie	male-80.bowtie	male-81.bowtie	male-82.bowtie	male-83.bowtie	male-84.bowtie	male-85.bowtie	male-86.bowtie	male-87.bowtie	male-88.bowtie	male-89.bowtie	male-9.bowtie	male-90.bowtie	male-91.bowtie	male-92.bowtie	male-93.bowtie	male-94.bowtie	male-95.bowtie	male-96.bowtie	male-97.bowtie	male-98.bowtie	male-99.bowtie
Tc27D1	$	0.056	0.027	0.024	0.041	0.03	0.045	0.037	$	0.03	0.041	0.047	$	0.024	0.034	0.046	0.036	0.044	0.031	0.048	0.041	0.048	0.037	0.039	0.041	0.03	0.033	0.027	0.029	$	$	0.048	0.029	0.031	0.032	0.044	0.047	0.038	0.018	0.048	0.032	0.049	0.037	$	$	$	0.05	0.042	$	0.029	0.042	0.031	$	$	0.044	$	0.043	0.038	0.032	0.047	0.029	0.035	0.029	0.037	0.04	0.019	0.04	0.027	0.039	0.047	0.035	0.025	0.034	0.026	0.031	0.035	0.041	0.037	0.033	0.034	0.029	0.034	0.042	0.032	0.047	0.041	0.047	0.028	0.03	0.054	0.03	0.045	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc27M11-13D	$	0.033	0.048	0.056	0.049	0.045	0.039	0.048	$	0.038	0.027	0.047	$	0.033	0.028	0.056	0.028	0.028	0.024	0.042	0.029	0.042	0.042	0.035	0.045	0.056	0.038	0.047	0.04	$	$	0.048	0.036	0.033	0.038	0.035	0.033	0.03	0.042	0.041	0.045	0.031	0.046	$	$	$	0.044	0.039	$	0.036	0.029	0.032	$	$	0.041	$	0.037	0.033	0.043	0.04	0.037	0.036	0.044	0.03	0.043	0.038	0.039	0.059	0.045	0.026	0.04	0.042	0.042	0.045	0.036	0.037	0.032	0.028	0.04	0.039	0.062	0.039	0.025	0.032	0.033	0.034	0.035	0.05	0.04	0.032	0.027	0.027	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc27di11me15	$	0.006	0.008	0.017	0.005	0.005	0.007	0.011	$	0.007	0.003	0.009	0	0.006	0.004	0.01	0.003	0.002	0.005	0.007	0.005	0.007	0.006	0.004	0.008	0.008	0.007	0.007	0.005	$	$	0	0.008	0.008	0.006	0	0.005	0.006	0.01	0.008	0.006	0.005	0.009	$	$	$	0.007	0.005	$	0.008	0.006	0.006	$	$	0.009	$	0.008	0.005	0.008	0.007	0.009	0.006	0.011	0.005	0.008	0.005	0.007	0.007	0.01	0.005	0.007	0.008	0.009	0.01	0.009	0.006	0.003	0.007	0.009	0.006	0	0.006	0.005	0.005	0.005	0.005	0.007	0.012	0.008	0.007	0.005	0.004	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc27me5D1T	$	0	0	0	0	0.001	0.002	0.002	$	0	0	0	$	0	0.002	0.002	0	0.001	0	0.002	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.002	$	$	0	0.002	0	0.001	0	0.001	0.001	0	0	0.002	0	0	$	$	$	0.002	0.001	$	0	0	0.001	$	$	0.001	$	0.002	0	0	0	0	0.002	0.001	0	0.001	0	0.001	0	0.002	0.001	0	0	0.001	0.002	0.001	0.001	0.001	0.002	0	0.001	0	0.001	0	0	0	0.001	0.001	0	0.001	0.001	0	0.001	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc27triKT	$	0	0.091	0	0	0	0.047	0.072	$	0	0	0.052	0	0	0	0	0	0.066	0	0.067	0	0.067	0.063	0.077	0	0.045	0	0	0.062	$	$	0	0.039	0	0.056	0	0	0	0	0	0	0	0.066	$	$	$	0.05	0	$	0	0	0.066	$	$	0.063	$	0.058	0	0.038	0	0.068	0.111	0.06	0	0.053	0	0	0.059	0.055	0	0	0	0	0.113	0.048	0.117	0	0.113	0.044	0	0	0	0	$	0	0.076	0	0.119	0.062	0.049	0	0.045	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc284812DT	$	0.015	0.023	0.018	0.017	0.017	0.01	0.019	$	0.018	0.016	0.018	$	0.008	0.013	0.016	0.008	0.015	0.012	0.018	0.015	0.018	0.014	0.018	0.015	0.015	0.017	0.014	0.011	$	$	0.016	0.018	0.012	0.013	$	0.017	0.014	0.014	0.017	0.012	0.008	0.017	$	$	$	0.017	0.011	$	0.015	0.01	0.01	$	$	0.017	$	0.019	0.007	0.017	0.015	0.01	0.015	0.018	0.014	0.017	0.011	0.012	0.01	0.014	0.013	0.012	0.012	0.015	0.021	0.013	0.015	0.009	0.015	0.014	0.014	0.016	0.014	0.006	0.017	0.01	0.016	0.011	0.014	0.017	0.014	$	0.013	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc28D1T	$	0.113	0.098	0.121	0.085	0.149	0.069	0.058	$	0.108	0.09	0.069	$	$	0.151	0.144	0.191	0.095	0.19	0.097	0.078	0.097	0.086	0.07	0.126	0.089	0.113	0.157	0.137	$	$	0.088	0.063	0.168	0.051	0.096	0.098	0.105	0.145	0.085	0.126	0.142	0.101	$	$	$	0.09	0.106	$	0.117	0.14	0.196	$	$	0.058	$	0.075	0.142	0.043	0.099	0.129	0	0.099	0.095	0.105	0.136	0.097	0.087	0.077	0.112	0.14	0.146	0.127	0	0.096	0	0.157	0	0.083	0.109	0.112	0.109	0.161	0	0.105	0.064	0.183	0	0.056	0.082	0.068	0.082	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc28Me2T1	$	0.003	0	0	0	0.002	0.004	0.002	$	0.002	0	0.004	0	0.001	0.002	0.002	0	0.004	0	0.003	0.003	0.003	0	0.004	0.003	0.003	0	0.002	0	$	$	0	0.003	0	0.003	0	0.003	0.004	0	0	0.003	0	0.003	$	$	$	0.001	0	$	0	0.003	0.002	$	$	0.003	$	0.003	0	0.002	0.003	0.002	0.003	0	0	0.001	0.005	0	0	0.003	0.004	0	0.001	0.002	0	0	0.003	0	0.003	0.004	0.003	0	0.003	0	0	0	0.002	0	0.002	0.003	0.004	0	0.003	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc28di4me12	$	0	0.002	0	0	0.002	0.001	0.001	$	0	0	0.002	0	0.001	0.001	0.001	0.001	0.001	0	0.001	0.001	0.001	0	0.002	0.001	0.002	0	0.002	0	$	$	0	0.001	0	0.002	0	0	0.001	0	0	0.001	0	0.002	$	$	$	0.002	0	$	0	0	0.001	$	$	0.001	$	0.001	0	0	0	0	0.002	0.002	0	0.001	0	0	0	0.001	0	0	0.001	0	0.002	0	0.001	0	0	0	0.001	0	0.001	0	0	0	0.001	0	0	0.002	0.001	0.001	0.001	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc28me12T	$	0.092	0.107	0.108	0.105	0.1	0.1	0.106	$	0.1	0.09	0.102	0.148	0.057	0.085	0.102	0.007	0.098	0.058	0.1	0.093	0.1	0.095	0.095	0.099	0.103	0.1	0.092	0.09	$	$	0.103	0.102	0.083	0.098	0.099	0.095	0.096	0.09	0.1	0.101	0.063	0.103	$	$	$	0.099	0.096	$	0.088	0.09	0.083	$	$	0.099	$	0.095	0.089	0.101	0.097	0.093	0.094	0.104	0.09	0.095	0.089	0.084	0.103	0.09	0.07	0.091	0.089	0.096	0.104	0.092	0.092	0.089	0.09	0.098	0.078	0.071	0.078	0.051	0.093	0.082	0.09	0.079	0.096	0.099	0.085	0.082	0.079	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc29di11me15	$	0.073	0.111	0.104	0.11	0.097	0.091	0.099	$	0.094	0.083	0.073	0.06	0.058	0.071	0.089	0.062	0.094	0.088	0.084	0.08	0.084	0.088	0.087	0.075	0.075	0.083	0.079	0.081	$	$	0.07	0.104	0.081	0.102	0.086	0.091	0.083	0.097	0.086	0.075	0.073	0.092	$	$	$	0.063	0.072	$	0.091	0.084	0.066	$	$	0.087	$	0.078	0.072	0.11	0.092	0.097	0.087	0.081	0.087	0.092	0.079	0.084	0.085	0.081	0.075	0.076	0.088	0.089	0.091	0.084	0.083	0.081	0.083	0.094	0.087	0.076	0.087	0.049	0.085	0.07	0.046	0.063	0.089	0.106	0.056	0.077	0.076	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc29m11-13DT	$	0.138	0.191	0.184	0.162	0.171	0.152	0.166	$	0.164	0.139	0.128	0.161	0.108	0.136	0.136	0.124	0.148	0.128	0.147	0.138	0.147	0.161	0.148	0.164	0.166	0.147	0.159	0.178	$	$	0.126	0.189	0.166	0.162	0.188	0.17	0.15	0.165	0.173	0.173	0.155	0.135	$	$	$	0.141	0.124	$	0.156	0.148	0.149	$	$	0.134	$	0.124	0.141	0.184	0.105	0.167	0.173	0.191	0.178	0.137	$	0.157	0.19	0.158	0.131	0.141	0.193	0.172	0.209	0.142	0.197	0.144	0.172	0.174	0.184	0.172	0.184	0.12	0.158	0.135	0.188	0.097	0.174	0.176	0.101	0.123	0.136	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc29me3	$	0.075	0.045	0.048	0.073	0.058	0.093	0.066	$	0.1	0.116	0.081	0.044	0.04	0.095	0.068	0.049	0.084	0.087	0.076	0.092	0.076	0.081	0.081	0.085	0.048	0.083	0.047	0.051	$	$	0.051	0.092	0.071	0.078	0.071	0.071	0.092	0.059	0.065	0.066	0.064	0.068	$	$	$	0.075	0.075	$	0.077	0.064	0.056	$	$	0.079	$	0.096	0.08	0.067	0.081	0.064	0.092	0.068	0.089	0.062	0.044	0.079	0.052	0.065	0.091	0.075	0.052	0.057	0.053	0.06	0.067	0.043	0.101	0.085	0.086	0.048	0.086	0.08	0.083	0.069	0.104	0.06	0.04	0.069	0.102	0.076	0.102	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc29tri711T	$	0	0.015	0	0	0.014	0.014	0.017	$	0.017	0	0	0	0	0.017	0.014	0.013	0	0	0	0.018	0	0.017	0.018	0.013	0.015	0.013	0.009	0	$	$	0	0.018	0.018	0.018	0	0	0.016	0	0	0.014	0	0.016	$	$	$	0.015	0.03	$	0	0	0.012	$	$	0.015	$	0.016	0	0	0	0.017	0.016	0.017	0.017	0	0	0	0	0.014	0.017	0	0	0.018	0.019	0.017	0.011	0.016	0.018	0.015	0.018	0	0.018	0	0.018	0	0.018	0	0	0.015	0.015	0.016	0.017	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc30me14D	$	0.017	$	0.023	0.022	0.022	0.019	0.02	$	0.02	0.014	0.015	$	0.014	0.017	0.014	0.014	0.016	0.015	0.017	0.017	0.017	0.017	0.019	0.016	0.022	0.017	0.02	0.021	$	$	0.011	0.022	0.019	0.024	0.017	0.018	0.018	0.02	0.013	0.019	0.013	0.015	$	$	$	0.015	0.016	$	0.021	0.018	0.016	$	$	0.016	$	0.015	0.019	0.021	0.018	0.022	0.019	0.025	0.019	0.017	0.021	0.016	0.019	0.019	0.014	0.014	0.021	0.021	0.024	0.017	0.021	0.016	0.017	0.021	0.014	0.022	0.014	0.015	0.019	0.011	0.016	0.012	0.017	0.023	0.013	0.02	0.016	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc30me2	$	0.001	0	0.004	0	0	0.002	0.002	$	0.002	0	0	0	0.002	0	0	0	0	0	0	0.002	0	0	0	0.001	0.003	0	0.002	0	$	$	0	0.002	0.001	0	0	0.002	0.002	0.002	0	0	0	0	$	$	$	0	0.001	$	0.003	0	0.001	$	$	0.001	$	0.001	0	0.002	0.001	0.002	0	0	0	0	0	0.001	0.003	0.002	0.001	0.001	0	0.002	0.003	0	0.002	0.001	0	0.002	0.001	0	0.001	0	0.002	0.001	0	0	0	0	0	0.002	0.001	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc30me4DT	$	0.022	0.022	0.02	0.024	0.017	0.024	0.02	$	0.025	0.027	0.019	$	0.013	0.023	0.014	0.018	0.021	0.022	0.019	0.023	0.019	0.023	0.025	0.019	0.016	0.019	0.017	0.016	$	$	0.014	0.024	0.017	0.026	0.02	0.017	0.022	0.019	0.019	0.017	0.015	0.02	$	$	$	0.017	0.018	$	0.022	0.014	0.015	$	$	0.022	$	0.024	$	0.023	0.022	0.017	0.022	0.022	0.022	0.02	0.016	0.021	0.012	0.019	0.022	0.017	0.018	0.019	0.022	0.019	0.021	0.016	0.02	0.023	0.02	$	0.02	0.014	0.025	0.014	0.022	0.012	0.014	0.023	0.018	0.024	0.017	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc31T	$	0.033	0.016	0.018	0.02	0.025	0.033	0.025	$	0.024	0.034	0.028	0	0.014	0.031	0.02	0.027	0.029	0.025	0.035	0.026	0.035	0.042	0.029	0.016	0.015	0.028	0.019	0.02	$	$	0.025	0.021	0.026	0.028	0.024	0.029	0.026	0.024	0.024	0.019	0.032	0.032	$	$	$	0.023	0.034	$	0.027	0.034	0.023	$	$	0.036	$	0.037	0.026	0.03	0.04	0.024	0.039	0.023	0.025	0.035	0.015	0.037	0.014	0.022	0.03	0.036	0.029	0.024	0.012	0.028	0.031	0.027	0.027	0.023	0.027	0	0.027	0.03	0.037	0.031	0.029	0.029	0	0.028	0.044	0.054	0.038	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc31d11m15	$	0.075	0.104	0.079	0.08	0.082	0.071	0.055	$	0.083	0.069	0.065	$	0.057	0.081	0.047	0.07	0.068	0.074	0.066	0.069	0.066	0.092	0.085	0.055	0.082	0.073	0.083	0.074	$	$	0.051	0.09	0.083	0.095	0.077	0.078	0.064	0.089	0.065	0.072	0.075	0.071	$	$	$	0.056	0.07	$	0.071	0.077	0.064	$	$	0.083	$	0.069	0.077	0.096	0.08	0.084	0.092	0.048	0.078	0.082	0.093	0.083	0.089	0.081	0.062	0.077	$	0.083	0.091	0.065	0.087	0.072	0.078	0.086	0.086	0.064	0.086	0.047	0.084	0.07	0.085	0.042	0.04	0.071	0.04	$	0.042	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
Tc31t711m15T	$	0	0	0	0	0	0	0	$	0.102	0.109	0	0	0	0.084	0	0.099	0	0.104	0	0.086	0	0.105	0	0.101	0	0.084	0	0.105	$	$	0.141	0.063	0	0.092	0	0	0	0	0	0	0.051	0	$	$	$	0	0	$	0	0	0	$	$	0	$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084	0	0	0	0	0.1	0	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
TotalD1T	$	1362.718	1410.047	1135.242	2342.681	1470.37	$	1298.744	$	2502.142	2340.838	269.324	227.684	826.362	1884.809	1674.562	1781.721	833.142	1353.738	1956.311	2723.802	1956.311	2355.978	1261.505	1446.087	624.491	2685.313	741.208	1325.662	$	$	2409.313	$	1879.309	2796.178	1465.454	1670.15	2375.003	1925.808	1757.481	2174.902	1634.901	1794.627	$	$	$	2289.853	2125.287	$	1383.119	1828.977	1798.831	$	$	1346.815	$	1967.847	1637.888	1850.58	2115.479	1575.343	2533.457	1890.371	1865.708	957.078	795.807	2511.192	1164.179	620.83	2296.669	873.183	1833.854	1439.071	1865.069	2474.824	2528.275	953.247	1771.658	1856.696	1204.363	738.357	1204.363	2030.213	2600.677	517.373	2171.951	784.704	657.776	1849.625	1177.84	1859.337	3167.071	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$	$
